,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-05-05,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 1440:2016+A2:2020,LPG equipment and accessories - Transportable refilable traditional welded anbrazed steel Liquefied Petroleum Gas (LPG) cylinders - Periodic inspection,CEN,18/05/2020,
2,,,,,
3,I.S. EN 1816:2020,Resilient floor coverings - Specification for homogeneous and heterogeneoussmooth rubber floor coverings with foam backing,CEN,18/05/2020,
4,I.S. EN 1817:2020,Resilient floor coverings - Specification for homogeneous and heterogeneoussmooth rubber floor coverings,CEN,18/05/2020,
5,I.S. EN 12199:2020,Resilient floor coverings - Specifications for homogeneous and heterogeneousrelief rubber floor coverings,CEN,18/05/2020,
6,I.S. EN 13230-6:2020,Railway applications - Track - Concrete sleepers and bearers - Part 6: Design,CEN,18/05/2020,
7,I.S. EN 16728:2016+A2:2020,LPG equipment and accessories - Transportable refilable LPG cylinders otherthan traditional welded and brazed steel cylinders - Periodic inspection,CEN,18/05/2020,
8,I.S. EN 16925:2018/AC:2020,"Fixed firefighting systems - Automatic residential sprinkler systems - Design,instalation and maintenance",CEN,18/05/2020,
9,I.S. EN 17255-2:2020,Stationary source emissions - Data acquisition and handling systems - Part 2:Specification of requirements on data acquisition and handling systems,CEN,18/05/2020,
10,I.S. EN 17362:2020,Animal feeding stufs: Methods of sampling and analysis - Determination ofpentachlorophenol (PCP) in feed materials and compound feed by LC-MS/MS,CEN,18/05/2020,
11,I.S. EN 45557:2020,General method for assessing the proportion of recycled material content inenergy-related products,CEN,18/05/2020,
12,I.S. EN 50212:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
13,I.S. EN 60730-2-6:2016/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
14,I.S. EN 61482-2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
15,I.S. EN 62351-3:2014/A2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
16,I.S. EN IEC 60730-2-7:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
17,I.S. EN IEC 60730-2-8:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
18,I.S. EN IEC 60730-2-11:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
19,I.S. EN IEC 61163-2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
20,I.S. EN IEC 61439-7:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
21,I.S. EN IEC 62148-6:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
22,I.S. EN IEC 62984-2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,18/05/2020,
23,I.S. EN ISO 787-19:2020,General methods of test for pigments - Part 19: Determination of water-solublenitrates (Salicylic acid method) (ISO 787-19:2020),CEN,18/05/2020,
24,I.S. EN ISO 1833-28:2020,Textiles - Quantitative chemical analysis - Part 28: Mixtures of chitosan withcertain other fibres (method using diluted acetic acid) (ISO 1833-28:2019),CEN,18/05/2020,
25,I.S. EN ISO 3657:2020,Animal and vegetable fats and oils - Determination of saponification value (ISO3657:2020),CEN,18/05/2020,
26,I.S. EN ISO 7369:2020,Pipework - Metal hoses and hose assemblies - Vocabulary (ISO 7369:2020),CEN,18/05/2020,
27,I.S. EN ISO 14239:2020,Soil quality - Laboratory incubation systems for measuring the mineralization oorganic chemicals in soil under aerobic conditions (ISO 14239:2017),CEN,18/05/2020,
28,I.S. EN ISO 14935:2020,Petroleum and related products - Determination of wick flame persistence offire-resistant fluids (ISO 14935:2020),CEN,18/05/2020,
29,I.S. EN ISO 15473:2020,Soil quality - Guidance on laboratory testing for biodegradation of organicchemicals in soil under anaerobic conditions (ISO 15473:2002),CEN,18/05/2020,
30,I.S. EN ISO 16964:2020,Gas cylinders - Flexible hoses assemblies - Specification and testing (ISO16964:2019),CEN,18/05/2020,
31,I.S. EN ISO 18763:2020,Soil quality - Determination of the toxic efects of polutants on germination anearly growth of higher plants (ISO 18763:2016),CEN,18/05/2020,
32,I.S. EN ISO 20932-1:2020,Textiles - Determination of the elasticity of fabrics - Part 1: Strip tests (ISO20932-1:2018),CEN,26/02/2020,
33,I.S. EN ISO 21285:2020,Soil quality - Inhibition of reproduction of the soil mite (Hypoaspis aculeifer) bysoil contaminants (ISO 21285:2019),CEN,18/05/2020,
34,I.S. EN ISO 21286:2020,Soil quality - Identification of ecotoxicological test species by DNA barcoding(ISO 21286:2019),CEN,18/05/2020,
35,"S.R. CEN/TR 17475:2020Space - Use of GNSS-based positioning for road Inteligent Transport SystemCEN27/05/2020Number of Records found :42 (ITS) - Specification of the test facilities, definition of test scenarios, descriptionand validation of the procedures for field tests related to security performance .",,,,
