,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-02-18,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 4855-01:2020,Aerospace series - ECO eficiency of catering equipment - Part 01: Generalconditions,CEN,01/03/2020,
2,,,,,
3,I.S. EN 4855-02:2020,Aerospace series - ECO eficiency of catering equipment - Part 02: Ovenequipment,CEN,01/03/2020,
4,I.S. EN 4855-03:2020,Aerospace series - ECO eficiency of catering equipment - Part 03: Chilingequipment,CEN,01/03/2020,
5,I.S. EN 4855-04:2020,Aerospace series - ECO eficiency of catering equipment - Part 04: Beveragemakers,CEN,18/02/2020,
6,I.S. EN 13230-4:2016+A1:2020,Railway applications - Track - Concrete sleepers and bearers - Part 4:Prestressed bearers for switches and crossings,CEN,01/03/2020,
7,I.S. EN 60335-2-82:2003/A2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,02/03/2020,
8,I.S. EN 62488-2:2017/AC:2020-02,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,02/03/2020,
9,I.S. EN IEC 60730-2-22:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,02/03/2020,
10,I.S. EN IEC 62041:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,02/03/2020,
11,I.S. EN ISO 3071:2020,Textiles - Determination of pH of aqueous extract (ISO/FDIS 3071:2019),CEN,01/03/2020,
12,I.S. EN ISO 3668:2020,Paints and varnishes - Visual comparison of colour of paints (ISO 3668:2017),CEN,01/03/2020,
13,I.S. EN ISO 9997:2020,Dentistry - Cartridge syringes (ISO/FDIS 9997:2019),CEN,01/03/2020,
14,I.S. EN ISO 10113:2020,Metalic materials - Sheet and strip - Determination of plastic strain ratio(ISO/FDIS 10113:2019),CEN,01/03/2020,
15,I.S. EN ISO 13164-1:2020,Water quality - Radon-222 - Part 1: General principles (ISO 13164-1:2013),CEN,01/03/2020,
16,I.S. EN ISO 13164-2:2020,Water quality - Radon-222 - Part 2: Test method using gamma-rayspectrometry (ISO 13164-2:2013),CEN,01/03/2020,
17,I.S. EN ISO 13164-3:2020,Water quality - Radon-222 - Part 3: Test method using emanometry (ISO13164-3:2013),CEN,01/03/2020,
18,I.S. EN ISO 13164-4:2020,Water quality - Radon-222 - Part 4: Test method using two-phase liquidscintilation counting (ISO 13164-4:2015),CEN,01/03/2020,
19,I.S. EN ISO 13165-1:2020,Water quality - Radium-226 - Part 1: Test method using liquid scintilationcounting (ISO 13165-1:2013),CEN,01/03/2020,
20,I.S. EN ISO 13165-2:2020,Water quality - Radium-226 - Part 2: Test method using emanometry (ISO13165-2:2014),CEN,01/03/2020,
21,I.S. EN ISO 13165-3:2020,Water quality - Radium-226 - Part 3: Test method using coprecipitation andgamma-spectrometry (ISO 13165-3:2016),CEN,01/03/2020,
22,I.S. EN ISO 14006:2020,Environmental management systems - Guidelines for incorporating ecodesign(ISO/FDIS 14006:2019),CEN,01/03/2020,
23,I.S. EN ISO 19396-1:2020,Paints and varnishes - Determination of pH value - Part 1: pH electrodes withglass membrane (ISO 19396-1:2017),CEN,01/03/2020,
24,I.S. EN ISO 19396-2:2020,Paints and varnishes - Determination of pH value - Part 2: pH electrodes withISFET technology (ISO 19396-2:2017),CEN,01/03/2020,
25,I.S. EN ISO 19403-1:2020,Paints and varnishes - Wettability - Part 1: Terminology and general principles(ISO 19403-1:2017),CEN,01/03/2020,
26,I.S. EN ISO 19403-2:2020,Paints and varnishes - Wettability - Part 2: Determination of the surface freeenergy of solid surfaces by measuring the contact angle (ISO 19403-2:2017),CEN,01/03/2020,
27,I.S. EN ISO 19403-3:2020,Paints and varnishes - Wettability - Part 3: Determination of the surface tensioof liquids using the pendant drop method (ISO 19403-3:2017),CEN,01/03/2020,
28,I.S. EN ISO 19403-4:2020,Paints and varnishes - Wettability - Part 4: Determination of the polar anddispersive fractions of the surface tension of liquids from an interfacial tension(ISO 19403-4:2017),CEN,01/03/2020,
29,I.S. EN ISO 19403-5:2020,Paints and varnishes - Wettability - Part 5: Determination of the polar anddispersive fractions of the surface tension of liquids from contact anglesmeasurements on a solid with only a disperse contribution to its surface energ,CEN,01/03/2020,
30,I.S. EN ISO 19403-6:2020,Paints and varnishes - Wettability - Part 6: Measurement of dynamic contactangle (ISO 19403-6:2017),CEN,01/03/2020,
31,I.S. EN ISO 19403-7:2020,Paints and varnishes - Wettability - Part 7: Measurement of the contact angle oa tilt stage (rol-of angle) (ISO 19403-7:2017),CEN,01/03/2020,
32,I.S. EN ISO 21404:2020,Solid biofuels - Determination of ash melting behaviour (ISO/FDIS 21404:2019,CEN,01/03/2020,
33,S.R. CEN/TS 13149-7:2020,Public transport - Road vehicle scheduling and control systems - Part 7: Systemand network architecture,CEN,01/03/2020,
34,S.R. CLC IEC/TR 63069:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,02/03/2020,
35,S.R. CWA 16926-1:2020Characterization of waste - Leaching behaviour test - Up-flow percolation test CEN01/03/2020Number of Records found :69 (under specified conditions),,,,
