,Reference,Title En Origin Body,Publication D.
0,,"Shel boilers - Part 5: Inspection during construction, documentation and",
1,I.S. EN 12953-5:2020,06/04/2020marking of pressure parts of the boilerCEN,
2,I.S. EN 13629:2020,Wood flooring - Solid individual and pre-assembled hardwood boards CEN,06/04/2020
3,,Tanks for the transport of dangerous goods - Metalic pressure tanks - Design,
4,I.S. EN 14025:2018/AC:2020,06/04/2020and constructionCEN,
5,,Performance of portable locating leak detectors and of fixed gas detectors for al,
6,I.S. EN 14624:2020,06/04/2020refrigerantsCEN,
7,,Winter maintenance equipment - Spreading and spraying machines - Part 1:,
8,I.S. EN 15597-1:2020,06/04/2020General requirements and definitionsCEN,
9,I.S. EN 16602-10-09:2020,Space product assurance - Nonconformance control system CEN,06/04/2020
10,I.S. EN 16602-20:2020,Space product assurance - Quality assurance CEN,06/04/2020
11,I.S. EN 16603-50-12:2020,"Space engineering - SpaceWire - Links, nodes, routers and networks CEN",06/04/2020
12,,Railway applications - Fire protection on railway vehicles - Toxicity test of,
13,I.S. EN 17084:2018/AC:2020,06/04/2020materials and componentsCEN,
14,,Information technology - Fishery and aquaculture products - Requirements for,
15,I.S. EN 17099:2020,labeling of distribution units and palets in the trade of fishery and aquaculture CEN,06/04/2020
16,,products,
17,,Mountaineering equipment - Individual safety systems for rope courses - Safety,
18,I.S. EN 17109:2020,06/04/2020requirements and test methodsCEN,
19,I.S. EN 17293:2020,Temporary works equipment - Execution - Requirements for manufacturing CEN,06/04/2020
20,I.S. EN 17333-1:2020,Characterisation of one component foam - Part 1: Foam yield characteristics CEN,06/04/2020
21,I.S. EN 17333-2:2020,Characterisation of one component foam - Part 2: Expansion characteristics CEN,06/04/2020
22,I.S. EN 17333-3:2020,Characterisation of one component foam - Part 3: Application CEN,06/04/2020
23,I.S. EN 17333-4:2020,Characterisation of one component foam - Part 4: Mechanical strength CEN,06/04/2020
24,I.S. EN 17333-5:2020,Characterisation of one component foam - Part 5: Insulation CEN,06/04/2020
25,I.S. EN 17399:2020,Algae and algae products - Terms and definitions CEN,06/04/2020
26,,Railway applications - Railway roling stock cables having special fire,
27,I.S. EN 50305:2020,06/04/2020performance - Test methodsCENELEC,
28,,Railway applications - Railway roling stock cables having special fire,
29,I.S. EN 50306-1:2020,06/04/2020performance - Thin wal - Part 1: General requirementsCENELEC,
30,,Railway applications - Railway roling stock cables having special fire,
31,I.S. EN 50306-2:2020,06/04/2020performance - Thin wal - Part 2: Single core cablesCENELEC,
32,,Railway applications - Railway roling stock cables having special fire,
33,I.S. EN 50306-3:2020,performance - Thin wal - Part 3: Single core and multicore cables screened and CENELEC,06/04/2020
34,,thin wal sheathed,
35,,Railway applications - Railway roling stock cables having special fire,
36,I.S. EN 50306-4:2020,performance - Thin wal - Part 4: Multicore and multipair screened or not CENELEC,06/04/2020
37,,screened sheathed cables,
38,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
39,I.S. EN ISO 6579-1:2017/A1:2020,06/04/2020(under specified conditions)CEN,
40,,Ferronickels - Determination of sulfur content - Infrared absorption method,
41,I.S. EN ISO 7526:2020,06/04/2020after induction furnace combustion (ISO 7526:2020)CEN,
42,,Dentistry - Laboratory cuters - Part 2: Carbide laboratory cutters (ISO,
43,I.S. EN ISO 7787-2:2020,06/04/20207787-2:2020)CEN,
44,,Plastics - Diferential scanning calorimetry (DSC) - Part 2: Determination of glass,
45,I.S. EN ISO 11357-2:2020,06/04/2020transition temperature and step height (ISO 11357-2:2020)CEN,
46,,Eye and face protection - Test methods - Part 1: Geometrical optical properties,
47,I.S. EN ISO 18526-1:2020,06/04/2020(ISO 18526-1:2020)CEN,
48,I.S. EN ISO 19111:2020,Geographic information - Referencing by coordinates (ISO 19111:2019) CEN,06/04/2020
49,,"Forensic sciences - Part 2: Recognition, recording, colecting, transport and",
50,I.S. EN ISO 21043-2:2020,06/04/2020storage of items (ISO 21043-2:2018)CEN,
51,,Plastics - Polyetheretherketone (PEEK) moulding and extrusion materials - Part,
52,I.S. EN ISO 23153-1:2020,06/04/20201: Designation system and basis for specifications (ISO 23153-1:2020)CEN,
53,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
54,I.S. EN ISO 29134:2020,06/04/2020(under specified conditions)CEN,
55,I.S. EN ISO 80000-8:2020,Quantities and units - Part 8: Acoustics (ISO 80000-8:2020) CEN,06/04/2020
